Pid_red,T_red,tailcor,nmoves,nequil,nprod,sbox,rho,P,P_var,rho_red,P_red,P_var_red,time,seed
0.75,2,False,100,500,1000,21.0372,0.009213949485323,41.0356307887698,14.1740101218658,0.478158986572946,1.04574963032629,0.361209650254451,103.354425907135,26663
0.75,2,False,100,500,1000,21.0372,0.009251906360231,42.5325464939541,14.9667640607718,0.480128763037235,1.08389694316727,0.381412145564395,107.640656709671,58437
0.75,2,False,100,500,1000,21.0372,0.009052363978716,40.972408886758,14.3711062341987,0.469773487802068,1.04413848704943,0.36623243612734,103.502828836441,85315
0.75,2,False,100,500,1000,21.0372,0.009280354414472,41.4612859848602,13.4140104345316,0.481605078140468,1.05659700260745,0.341841862388124,108.433698654175,90105
1,2,False,100,500,1000,21.0372,0.010474673245875,56.5388331007975,15.9054888499568,0.543584393631469,1.44083233711177,0.405334553540073,119.847159862518,63196
1,2,False,100,500,1000,21.0372,0.010189213143497,51.6926030272079,16.3747885188986,0.528770408219687,1.31733129154433,0.417294159031076,127.012504339218,94193
1,2,False,100,500,1000,21.0372,0.010278109285202,56.8725255824109,17.0260300339314,0.533383683894349,1.44933613692141,0.433890359954715,124.216311454773,39777
1,2,False,100,500,1000,21.0372,0.010310975026035,53.2043302039101,16.5135085752213,0.535089255360173,1.35585605906474,0.420829292884997,123.478928565979,32007
1,2,False,100,500,1000,21.0372,0.010260136722656,54.1286273957147,16.3843475598719,0.532450995658209,1.3794107949872,0.417537761075739,118.05851149559,76515
1.5,2,False,100,500,1000,21.0372,0.011358499491621,72.1117970328936,18.5560215323854,0.589450660062121,1.83769284496903,0.472880574389252,135.163299322128,88327
1.5,2,False,100,500,1000,21.0372,0.011429952591687,72.4520532259445,19.1519066748977,0.593158727050061,1.84636391401951,0.488066076732493,138.637944936752,54092
1.5,2,False,100,500,1000,21.0372,0.011441232568491,71.9016106074727,18.93278261144,0.593744102766068,1.83233646631812,0.482481931833247,146.748631477356,84103
1.5,2,False,100,500,1000,21.0372,0.011465325232717,74.4157138445296,19.295918855479,0.594994394394877,1.89640572710975,0.491736074773478,143.568019151688,34191
1.5,2,False,100,500,1000,21.0372,0.011514507306404,75.3877011456568,19.8043159221288,0.597546703863163,1.92117579500679,0.504692036075612,170.068894863129,34925
2,2,False,100,500,1000,21.0372,0.011859307046803,81.572637571703,22.3247937576006,0.615440126732783,2.07879235546428,0.568923746762794,197.165318012238,60403
